ID,item_cnt_month
0,0.36144176
1,0.2217774
2,0.93229836
3,0.5091625
4,4.8393636
5,0.38431635
6,0.12518851
7,0.19987738
8,1.102104
9,0.43223554
10,2.7887309
11,-0.13468023
12,0.098102
13,0.66428846
14,1.978154
15,2.55841
16,0.03551935
17,0.1563136
18,1.1310755
19,-0.09236426
20,0.66790736
21,0.15166606
22,2.5474162
23,0.38846236
24,1.1729436
25,-0.935009
26,0.009205244
27,0.4846334
28,1.0927639
29,3.793565
30,1.2307062
31,1.2078477
32,1.1215881
33,1.5153168
34,0.07870214
35,0.09845873
36,0.11235975
37,1.0704858
38,0.13696845
39,0.050918546
40,0.674446
41,1.5334017
42,4.326453
43,4.4443827
44,0.95638007
45,0.55827874
46,1.2669514
47,0.381981
48,0.50766444
49,0.75067174
50,1.0264581
51,0.41289616
52,0.4152709
53,0.2848931
54,4.701373
55,2.0457938
56,0.9730928
57,1.7995684
58,2.8551223
59,2.1940625
60,1.8566222
61,0.16859438
62,0.2749834
63,0.3971788
64,3.5638447
65,0.3245026
66,0.6771388
67,0.43491346
68,0.872395
69,0.32616326
70,0.3245026
71,0.94962496
72,0.11124572
73,0.60805464
74,42.342197
75,49.57127
76,0.32194176
77,4.2291274
78,0.7237667
79,0.7528878
80,0.99074703
81,1.9842993
82,1.0045457
83,0.7173676
84,0.96991944
85,0.96025676
86,0.69976705
87,0.030993722
88,1.9734089
89,0.5927394
90,0.81934875
91,1.335493
92,2.2193894
93,0.0568691
94,0.1808266
95,0.058854055
96,0.044578016
97,0.4263753
98,0.9349977
99,1.972479
100,3.5197494
101,1.3341955
102,0.3469546
103,1.0172378
104,0.062768005
105,0.4849678
106,0.33732307
107,0.6174682
108,0.14793009
109,0.18033378
110,0.2537542
111,0.34805807
112,0.47278565
113,0.5834381
114,0.117621265
115,0.25609586
116,0.34407043
117,0.09065446
118,11.605542
119,0.0930023
120,0.041273277
121,0.06309953
122,0.34323284
123,0.5261777
124,0.43506557
125,0.7831994
126,0.35058507
127,0.06622333
128,0.21562593
129,0.26521882
130,0.4153316
131,0.025456615
132,1.3977313
133,4.4264116
134,0.042355258
135,1.3321491
136,0.47220138
137,0.3720365
138,1.3536962
139,0.9220356
140,0.23766409
141,0.3454866
142,0.10431193
143,0.47380406
144,0.20150347
145,0.20150347
146,0.20150347
147,0.0872271
148,0.1727843
149,0.049049374
150,0.08494978
151,0.41966283
152,3.9557447
153,0.3392753
154,0.07647212
155,0.22472224
156,0.33650392
157,0.3772542
158,0.09431037
159,0.14288956
160,1.2287905
161,0.25814685
162,1.1517814
163,0.838031
164,0.7643445
165,0.092896864
166,0.3853196
167,0.04667962
168,0.2934246
169,0.11169148
170,0.22870041
171,0.62550426
172,0.12013294
173,2.0448663
174,1.9002006
175,1.7310737
176,1.290818
177,0.30584937
178,0.18763788
179,0.09756425
180,1.9467295
181,0.11817495
182,0.20374647
183,0.23794885
184,0.10888331
185,0.4325815
186,0.1342153
187,0.20540263
188,0.23733093
189,0.23733093
190,0.09894804
191,0.3307999
192,0.68388516
193,0.063987814
194,0.15372978
195,-0.26906386
196,0.6284837
197,2.729893
198,1.3211093
199,4.0076923
200,-0.025691597
201,4.0076923
202,0.060194284
203,0.633276
204,0.1450554
205,0.27892134
206,-0.9141299
207,-0.2848697
208,1.121347
209,0.27895308
210,0.0677318
211,0.08530879
212,0.04315772
213,0.2806533
214,0.04322964
215,0.07066532
216,0.12127946
217,0.2565343
218,1.2211214
219,0.43076912
220,-0.0415447
221,6.6432166
222,4.0877748
223,0.6846173
224,1.163453
225,0.16088666
226,0.45277894
227,0.13423324
228,0.05093498
229,0.14444683
230,4.428419
231,0.6122502
232,0.039232474
233,0.040281616
234,0.07886565
235,0.121674985
236,1.0490217
237,1.5143507
238,0.21517098
